source,clip,video,seconds,system,condition,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,atten20_frac,mean_atten_db,gate_mean,burst_frac,limiter_frac
mad_communication,mad:training/328_10,MSXFauKSLXo,4.0000,raw,mono,3.5299,3.5987,2.9811,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/374_6,Uu6nSOOZA4Y,2.0000,gtcrn_pretrained,mono,2.4308,2.3213,1.6609,0.0200,5.7477,nan,nan,nan
mad_communication,mad:training/374_6,Uu6nSOOZA4Y,2.0000,r7,ref_dup,2.5077,3.2839,1.8572,1.0000,40.1901,0.6435,0.1984,0.0000
mad_communication,mad:training/374_6,Uu6nSOOZA4Y,2.0000,r7,ref_zero,1.6510,1.7921,1.2730,0.0900,4.9170,0.0000,0.0000,0.0000
mad_communication,mad:training/374_6,Uu6nSOOZA4Y,2.0000,raw,mono,1.2007,1.1291,1.1157,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/379_31,fisa16uerj4,1.0000,gtcrn_pretrained,mono,2.2295,3.8718,2.0034,0.3000,12.9416,nan,nan,nan
mad_communication,mad:training/379_31,fisa16uerj4,1.0000,r7,ref_dup,2.5720,3.6644,1.9381,1.0000,41.3640,1.0000,0.0000,0.0000
mad_communication,mad:training/379_31,fisa16uerj4,1.0000,r7,ref_zero,2.5476,3.8249,2.2425,0.1200,8.8707,0.0000,0.0000,0.0000
mad_communication,mad:training/379_31,fisa16uerj4,1.0000,raw,mono,3.2255,2.9520,2.4766,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/384_0,0ChWRi55eiI,9.0000,gtcrn_pretrained,mono,2.4663,3.5738,2.1096,0.2289,12.1747,nan,nan,nan
mad_communication,mad:training/384_0,0ChWRi55eiI,9.0000,r7,ref_dup,2.6823,3.5284,2.0407,1.0000,42.2815,0.9832,0.0071,0.0000
mad_communication,mad:training/384_0,0ChWRi55eiI,9.0000,r7,ref_zero,2.4462,2.8461,1.8643,0.1644,7.8582,0.0000,0.0000,0.0000
mad_communication,mad:training/384_0,0ChWRi55eiI,9.0000,raw,mono,1.2651,1.1696,1.1233,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/389_0,pJOFxu3jfas,4.0000,gtcrn_pretrained,mono,2.7187,3.8733,2.3510,0.1250,8.1623,nan,nan,nan
mad_communication,mad:training/389_0,pJOFxu3jfas,4.0000,r7,ref_dup,2.8023,4.0044,2.1745,1.0000,39.5983,0.9163,0.0398,0.0000
mad_communication,mad:training/389_0,pJOFxu3jfas,4.0000,r7,ref_zero,2.5885,3.4804,2.1180,0.1100,7.9623,0.0000,0.0000,0.0000
mad_communication,mad:training/389_0,pJOFxu3jfas,4.0000,raw,mono,1.3268,1.2431,1.1557,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/392_8,vaXolON89bE,4.0000,gtcrn_pretrained,mono,3.0355,3.9156,2.7516,0.0216,2.4560,nan,nan,nan
mad_communication,mad:training/392_8,vaXolON89bE,4.0000,r7,ref_dup,2.6244,3.5531,1.9291,1.0000,41.4189,0.5246,0.2749,0.0000
mad_communication,mad:training/392_8,vaXolON89bE,4.0000,r7,ref_zero,3.2353,3.6803,2.7939,0.0000,1.2303,0.0000,0.0000,0.0000
mad_communication,mad:training/392_8,vaXolON89bE,4.0000,raw,mono,3.4612,3.4212,2.8533,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/393_20,EKuc7AfFrxU,3.0000,gtcrn_pretrained,mono,2.7938,3.9918,2.3743,0.2800,13.2738,nan,nan,nan
mad_communication,mad:training/393_20,EKuc7AfFrxU,3.0000,r7,ref_dup,2.6540,3.8461,2.0171,1.0000,38.4170,0.8995,0.0423,0.0000
mad_communication,mad:training/393_20,EKuc7AfFrxU,3.0000,r7,ref_zero,2.2015,3.7475,1.8067,0.2467,9.9620,0.0000,0.0000,0.0000
mad_communication,mad:training/393_20,EKuc7AfFrxU,3.0000,raw,mono,2.1760,1.7301,1.6096,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/405_10,qbcWFYhPIRc,5.0000,gtcrn_pretrained,mono,3.0023,3.7499,2.6347,0.0200,2.6757,nan,nan,nan
mad_communication,mad:training/405_10,qbcWFYhPIRc,5.0000,r7,ref_dup,2.5138,3.7103,1.8889,1.0000,41.1616,0.7866,0.1083,0.0000
mad_communication,mad:training/405_10,qbcWFYhPIRc,5.0000,r7,ref_zero,2.9814,2.8063,2.1512,0.0000,1.7251,0.0000,0.0000,0.0000
mad_communication,mad:training/405_10,qbcWFYhPIRc,5.0000,raw,mono,1.2989,1.3180,1.1411,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/418_0,kgnPh8n3cOc,3.0000,gtcrn_pretrained,mono,3.4038,4.2296,3.2211,0.0968,4.1980,nan,nan,nan
mad_communication,mad:training/418_0,kgnPh8n3cOc,3.0000,r7,ref_dup,2.4868,3.8730,1.9663,1.0000,46.4568,0.5886,0.2857,0.1217
mad_communication,mad:training/418_0,kgnPh8n3cOc,3.0000,r7,ref_zero,3.5006,4.1295,3.2488,0.1452,6.1668,0.0000,0.0000,0.0000
mad_communication,mad:training/418_0,kgnPh8n3cOc,3.0000,raw,mono,3.6086,3.7514,3.1616,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/421_28,WYEEeQN6ffI,3.0000,gtcrn_pretrained,mono,2.4193,3.8337,1.9360,0.2933,14.2920,nan,nan,nan
mad_communication,mad:training/421_28,WYEEeQN6ffI,3.0000,r7,ref_dup,2.7132,3.9437,2.0935,1.0000,39.8769,0.7831,0.1005,0.0000
mad_communication,mad:training/421_28,WYEEeQN6ffI,3.0000,r7,ref_zero,2.0102,3.6432,1.5971,0.3533,15.1976,0.0000,0.0000,0.0000
mad_communication,mad:training/421_28,WYEEeQN6ffI,3.0000,raw,mono,2.3168,1.9244,1.7069,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/428_4,oWxhsbE9u6U,8.0000,gtcrn_pretrained,mono,2.5475,3.7294,2.2681,0.2850,13.0343,nan,nan,nan
mad_communication,mad:training/428_4,oWxhsbE9u6U,8.0000,r7,ref_dup,2.7412,3.8324,2.1543,1.0000,39.9618,0.7019,0.1577,0.0000
mad_communication,mad:training/428_4,oWxhsbE9u6U,8.0000,r7,ref_zero,2.5511,2.8196,1.9823,0.1325,7.0133,0.0000,0.0000,0.0000
mad_communication,mad:training/428_4,oWxhsbE9u6U,8.0000,raw,mono,1.8598,1.3029,1.3202,0.0000,0.0000,nan,nan,nan
mad_communication,mad:training/436_21,GJSfEEdV76k,6.0000,gtcrn_pretrained,mono,3.2167,3.7285,2.7547,0.0000,3.0128,nan,nan,nan
mad_communication,mad:training/436_21,GJSfEEdV76k,6.0000,r7,ref_dup,2.6015,3.8071,2.0770,1.0000,43.3322,0.7957,0.1410,0.0612
mad_communication,mad:training/436_21,GJSfEEdV76k,6.0000,r7,ref_zero,3.3023,3.1035,2.5697,0.0000,1.8910,0.0000,0.0000,0.0000
mad_communication,mad:training/436_21,GJSfEEdV76k,6.0000,raw,mono,3.4874,2.9205,2.6176,0.0000,0.0000,nan,nan,nan
