id,bucket,variant,snr_out,stoi,pesq_wb
0020,changing_-10,as trained,7.761284828186035,0.8519358341778721,1.5276875495910645
0020,changing_-10,n_hat zeroed,7.741685390472412,0.8525166177090431,1.5082924365997314
0020,changing_-10,ref zeroed,-4.199183940887451,0.6354196608830471,1.1867600679397583
0020,changing_-10,coh zeroed,7.692995548248291,0.849532115446483,1.5193781852722168
0021,changing_-10,as trained,5.893265724182129,0.7318631579180477,1.121307373046875
0021,changing_-10,n_hat zeroed,5.881311416625977,0.7313579536999018,1.1219089031219482
0021,changing_-10,ref zeroed,3.6750080585479736,0.6020315296989395,1.0439919233322144
0021,changing_-10,coh zeroed,5.832441329956055,0.7290897160197399,1.1225833892822266
0022,changing_-10,as trained,8.24984359741211,0.8125081296048908,1.4163092374801636
0022,changing_-10,n_hat zeroed,8.232715606689453,0.809516215554584,1.4203143119812012
0022,changing_-10,ref zeroed,2.094443798065185,0.5584947986682831,1.098537802696228
0022,changing_-10,coh zeroed,8.152715682983398,0.810937593208646,1.377361536026001
0023,changing_-10,as trained,13.005181312561035,0.7824299323472658,1.5924503803253174
0023,changing_-10,n_hat zeroed,13.03681182861328,0.782560695214437,1.590135097503662
0023,changing_-10,ref zeroed,-7.083006858825684,0.6490851179601517,1.0326756238937378
0023,changing_-10,coh zeroed,13.022130966186523,0.7824181691509158,1.6023540496826172
0024,changing_-10,as trained,18.10225296020508,0.8557881722521707,1.6817245483398438
0024,changing_-10,n_hat zeroed,18.0472354888916,0.8545666170570679,1.678928017616272
0024,changing_-10,ref zeroed,1.9624357223510744,0.7958537639313631,1.2984204292297363
0024,changing_-10,coh zeroed,15.824719429016112,0.8242723504942762,1.5293068885803225
0025,changing_-10,as trained,5.077358245849609,0.7248860808517484,1.3587325811386108
0025,changing_-10,n_hat zeroed,5.018133640289307,0.72907854348214,1.3812174797058103
0025,changing_-10,ref zeroed,-14.929648399353027,0.3530324816998855,1.0614069700241089
0025,changing_-10,coh zeroed,4.941729068756104,0.7203299118509696,1.3444830179214478
0026,changing_-10,as trained,14.259773254394531,0.973739509186268,2.983502149581909
0026,changing_-10,n_hat zeroed,14.230547904968262,0.9732674903762514,2.984968900680542
0026,changing_-10,ref zeroed,9.742027282714844,0.9459647688214888,2.0031168460845947
