i,seed,scene,ref_mode,near,wind,m2_bucket,ref_speech_gain_db,snr_db,clipped,n_speech,n_noise,auc_item
37,7331:37,helicopter,low_ild,neg,no,-6..+3,1.4184078972419414,-7.782505035400391,True,554,88473,0.6867108345031738
38,7331:38,artillery,physical,pos,no,physical,-12.262177177903098,7.257198333740234,False,13096,24002,0.8093556761741638
39,7331:39,patrol,physical,pos,yes,physical,-11.712281368468275,18.94270133972168,False,7397,5767,0.8652315735816956
40,7331:40,helicopter,physical,pos,yes,physical,-10.015030009859874,-9.091073989868164,True,1010,76042,0.5914636850357056
41,7331:41,patrol,low_ild,none,yes,-6..+3,0.960101576862229,-1.6772205829620361,False,6810,14669,0.34758105874061584
42,7331:42,firefight,physical,pos,yes,physical,-13.167372809454026,7.901622772216797,False,20404,6059,0.8834315538406372
43,7331:43,helicopter,physical,pos,yes,physical,-15.536903876060908,-25.59138298034668,True,102,52413,0.3982580900192261
44,7331:44,drone,physical,pos,no,physical,-12.234179201821028,5.161943435668945,False,5072,30943,0.7641816139221191
45,7331:45,windy_ridge,physical,pos,yes,physical,-13.276220222826375,7.262673854827881,False,12429,9912,0.8083296418190002
46,7331:46,artillery,physical,pos,no,physical,-17.98677980737586,34.36635208129883,True,14515,650,0.6911979913711548
47,7331:47,apc,low_ild,pos,no,-6..+3,-3.239534176107542,-14.205791473388672,True,923,38357,0.5181174278259277
48,7331:48,apc,low_ild,pos,no,-6..+3,-2.867451836827634,-22.426538467407227,True,302,80905,0.4467615783214569
49,7331:49,firefight,physical,pos,no,physical,-15.807626231181743,2.7064836025238037,False,5096,47343,0.7448661923408508
50,7331:50,helicopter,low_ild,pos,yes,-6..+3,2.9429825944960033,-11.666817665100098,True,1318,75004,0.31238001585006714
51,7331:51,apc,physical,pos,no,physical,-12.152591258215821,-16.396156311035156,True,848,70762,0.6179269552230835
52,7331:52,artillery,low_ild,pos,no,-6..+3,0.7018726702749483,20.26698875427246,True,24003,1826,0.3942281901836395
53,7331:53,artillery,low_ild,pos,no,-6..+3,-2.6688023395727924,17.820697784423828,False,18861,5133,0.2989984154701233
54,7331:54,helicopter,physical,pos,no,physical,-14.534820634712904,-17.620243072509766,True,209,89172,0.5429558157920837
55,7331:55,patrol,physical,none,no,physical,-10.001203801674912,31.67503547668457,False,14352,497,0.8370131850242615
56,7331:56,helicopter,physical,none,no,physical,-14.496082733425531,-8.136191368103027,True,6940,29274,0.9218211770057678
57,7331:57,artillery,low_ild,none,no,-6..+3,1.3741523255522274,35.250362396240234,True,21894,1070,0.28113502264022827
58,7331:58,apc,physical,pos,no,physical,-10.749358146916435,-20.88530731201172,True,984,56424,0.6812677383422852
59,7331:59,patrol,physical,pos,no,physical,-14.252835727814428,21.244123458862305,False,9514,5939,0.90415358543396
60,7331:60,artillery,low_ild,pos,yes,-6..+3,-0.6297400418003853,14.79281997680664,True,15931,5586,0.11755016446113586
61,7331:61,patrol,physical,none,no,physical,-16.705107398445804,27.901046752929688,False,14646,871,0.9802310466766357
62,7331:62,patrol,low_ild,pos,no,-6..+3,-1.0008504915835843,18.061357498168945,False,19105,12503,0.533412516117096
63,7331:63,apc,low_ild,pos,no,-6..+3,-1.0860520151929762,-12.535581588745117,True,874,67513,0.38033947348594666
64,7331:64,drone,low_ild,pos,no,-6..+3,0.9904389776359324,25.26077651977539,False,21092,3973,0.1777937114238739
65,7331:65,apc,physical,pos,no,physical,-9.493721927239289,-21.883420944213867,True,427,63152,0.6972466707229614
66,7331:66,drone,physical,pos,yes,physical,-13.973963201030159,5.739925384521484,False,13409,16195,0.8497832417488098
67,7331:67,command_post,physical,pos,no,physical,-9.586384733862765,10.435179710388184,False,8753,22851,0.6308713555335999
68,7331:68,firefight,physical,pos,no,physical,-15.865677646622299,21.716678619384766,True,17658,11868,0.8062210083007812
69,7331:69,command_post,physical,pos,no,physical,-12.97993764445443,3.7594637870788574,False,4558,56571,0.8317455053329468
70,7331:70,firefight,low_ild,neg,no,-6..+3,-3.3644622629711414,3.052046298980713,True,4142,46644,0.8156551122665405
71,7331:71,firefight,physical,pos,no,physical,-15.822036823289874,25.046615600585938,True,33186,3508,0.7965656518936157
72,7331:72,windy_ridge,stereo,unspatialised,yes,-6..+3,-0.42291438786402225,-3.019653558731079,False,16822,13136,0.38716742396354675
73,7331:73,patrol,low_ild,pos,no,-6..+3,-0.08838998002739373,27.117401123046875,False,12399,2549,0.18482893705368042
74,7331:74,helicopter,physical,pos,yes,physical,-16.437061904930985,-14.265892028808594,True,1370,52131,0.8471760749816895
75,7331:75,patrol,mono,pos,no,-6..+3,0.0,20.53558349609375,False,18782,2610,0.5000000596046448
76,7331:76,artillery,physical,pos,no,physical,-8.662982455934905,11.71993637084961,False,16177,7297,0.6847144365310669
77,7331:77,artillery,low_ild,pos,no,-6..+3,-5.061609525446364,23.132843017578125,True,17077,2429,0.09848517179489136
78,7331:78,patrol,mono,pos,no,-6..+3,0.0,29.558189392089844,False,24087,878,0.49999919533729553
79,7331:79,helicopter,physical,pos,yes,physical,-16.05176109884703,-8.625033378601074,True,1081,53005,0.7894608974456787
80,7331:80,patrol,physical,pos,no,physical,-15.661219823381238,17.720478057861328,False,20202,2101,0.8996948599815369
81,7331:81,windy_ridge,physical,pos,yes,physical,-14.887524018086925,12.904419898986816,False,13623,4575,0.8923893570899963
82,7331:82,drone,low_ild,pos,yes,-6..+3,1.4562120238844045,10.515885353088379,False,18319,10069,0.10781127959489822
83,7331:83,drone,physical,neg,no,physical,-18.681374421231787,15.072668075561523,False,14825,2340,0.979961633682251
84,7331:84,command_post,physical,pos,no,physical,-11.344720153387371,1.4042351245880127,False,5627,50978,0.6580791473388672
85,7331:85,apc,physical,pos,no,physical,-9.114872775822072,-3.010551929473877,True,1974,48680,0.7350500822067261
86,7331:86,firefight,physical,pos,no,physical,-9.802526292832496,3.3238675594329834,False,12994,16078,0.6678292751312256
87,7331:87,artillery,low_ild,pos,no,-6..+3,-4.564510097472386,28.482885360717773,False,9078,1188,0.3527071475982666
88,7331:88,artillery,physical,pos,no,physical,-15.216832877866509,15.104927062988281,False,18706,5715,0.9319941401481628
89,7331:89,drone,physical,pos,yes,physical,-16.378966059623245,21.737972259521484,False,7846,9025,0.8766379952430725
90,7331:90,drone,low_ild,pos,no,-6..+3,0.950848139985446,13.532682418823242,False,18165,6926,0.4117368757724762
91,7331:91,helicopter,physical,pos,yes,physical,-9.72419538828327,-14.849361419677734,True,93,64510,0.6462730765342712
92,7331:92,artillery,low_ild,pos,yes,-6..+3,-3.648070942843404,30.181407928466797,True,26461,1010,0.24809761345386505
93,7331:93,artillery,mono,pos,yes,-6..+3,0.0,16.869354248046875,False,8841,8960,0.5000000596046448
94,7331:94,firefight,low_ild,pos,yes,-6..+3,0.33006981490751386,17.1285457611084,False,24166,3737,0.14918488264083862
95,7331:95,apc,physical,pos,no,physical,-11.147539830825203,-23.1312198638916,True,345,47701,0.5859057903289795
96,7331:96,command_post,physical,pos,no,physical,-17.101281550215354,3.4099385738372803,False,4060,43855,0.7485882639884949
97,7331:97,apc,low_ild,pos,no,-6..+3,2.98480858920254,-12.42996597290039,True,375,82945,0.11587578803300858
98,7331:98,patrol,physical,none,no,physical,-15.93730269893738,21.719045639038086,False,14392,1086,0.9299032688140869
99,7331:99,drone,physical,pos,no,physical,-19.246452441210188,10.244437217712402,False,9110,21894,0.8507805466651917
100,7331:100,patrol,physical,pos,yes,physical,-9.457287665318837,10.225300788879395,False,14345,4193,0.775772750377655
101,7331:101,apc,low_ild,pos,no,-6..+3,-1.2130597989246006,-19.875728607177734,True,329,79886,0.329438179731369
102,7331:102,apc,physical,pos,no,physical,-17.348359458723692,-13.82866096496582,True,604,69046,0.6548498272895813
103,7331:103,drone,physical,pos,yes,physical,-12.993383008385067,21.907764434814453,False,15222,3446,0.9725322723388672
104,7331:104,windy_ridge,physical,pos,yes,physical,-14.035278390649559,-10.412993431091309,True,5461,18201,0.8897985219955444
105,7331:105,apc,physical,pos,no,physical,-11.895442413474097,-9.15605354309082,True,694,80094,0.626136839389801
106,7331:106,drone,low_ild,pos,no,-6..+3,0.39817586047994524,24.05494499206543,False,42106,2758,0.1354699730873108
107,7331:107,windy_ridge,mono,pos,yes,-6..+3,0.0,10.030025482177734,False,8437,6053,0.5
108,7331:108,firefight,physical,none,no,physical,-13.460361094871189,26.917316436767578,True,18490,2391,0.8993924856185913
